['Level', 'Pool', 'Garage', 'Theater']	Test Error: [0.25018232]
['Level', 'Pool', 'Garden', 'Age']	Test Error: [0.25741994]
['Level', 'Pool', 'Garden', 'Theater']	Test Error: [0.25330593]
['Level', 'Pool', 'Age', 'Theater']	Test Error: [0.25683388]
['Level', 'Garage', 'Garden', 'Age']	Test Error: [0.25060953]
['Level', 'Garage', 'Garden', 'Theater']	Test Error: [0.25050963]
['Level', 'Garage', 'Age', 'Theater']	Test Error: [0.25018871]
['Level', 'Garden', 'Age', 'Theater']	Test Error: [0.2574807]
['Area', 'Floor', 'Rooms', 'Pool']	Test Error: [0.19395345]
['Area', 'Floor', 'Rooms', 'Garage']	Test Error: [0.19385543]
['Area', 'Floor', 'Rooms', 'Garden']	Test Error: [0.19392338]
['Area', 'Floor', 'Rooms', 'Age']	Test Error: [0.1886046]
['Area', 'Floor', 'Rooms', 'Theater']	Test Error: [0.19394242]
['Area', 'Floor', 'Pool', 'Garage']	Test Error: [0.19467366]
['Area', 'Floor', 'Pool', 'Garden']	Test Error: [0.19480737]
['Area', 'Floor', 'Pool', 'Age']	Test Error: [0.18966245]
['Area', 'Floor', 'Pool', 'Theater']	Test Error: [0.19483966]
['Area', 'Floor', 'Garage', 'Garden']	Test Error: [0.19462712]
['Area', 'Floor', 'Garage', 'Age']	Test Error: [0.18942267]
['Area', 'Floor', 'Garage', 'Theater']	Test Error: [0.19465364]
['Area', 'Floor', 'Garden', 'Age']	Test Error: [0.1895866]
['Area', 'Floor', 'Garden', 'Theater']	Test Error: [0.19478162]
['Area', 'Floor', 'Age', 'Theater']	Test Error: [0.1896286]
['Area', 'Rooms', 'Pool', 'Garage']	Test Error: [0.19584462]
['Area', 'Rooms', 'Pool', 'Garden']	Test Error: [0.19592066]
['Area', 'Rooms', 'Pool', 'Age']	Test Error: [0.1905299]
['Area', 'Rooms', 'Pool', 'Theater']	Test Error: [0.19593691]
['Area', 'Rooms', 'Garage', 'Garden']	Test Error: [0.19582944]
['Area', 'Rooms', 'Garage', 'Age']	Test Error: [0.19042734]
['Area', 'Rooms', 'Garage', 'Theater']	Test Error: [0.19584063]
['Area', 'Rooms', 'Garden', 'Age']	Test Error: [0.19049952]
['Area', 'Rooms', 'Garden', 'Theater']	Test Error: [0.19591245]
['Area', 'Rooms', 'Age', 'Theater']	Test Error: [0.19051251]
['Area', 'Pool', 'Garage', 'Garden']	Test Error: [0.19660199]
['Area', 'Pool', 'Garage', 'Age']	Test Error: [0.19133349]
['Area', 'Pool', 'Garage', 'Theater']	Test Error: [0.19662685]
['Area', 'Pool', 'Garden', 'Age']	Test Error: [0.19148836]
['Area', 'Pool', 'Garden', 'Theater']	Test Error: [0.1967606]
['Area', 'Pool', 'Age', 'Theater']	Test Error: [0.19152675]
['Area', 'Garage', 'Garden', 'Age']	Test Error: [0.19128101]
['Area', 'Garage', 'Garden', 'Theater']	Test Error: [0.19658698]
['Area', 'Garage', 'Age', 'Theater']	Test Error: [0.19130896]
['Area', 'Garden', 'Age', 'Theater']	Test Error: [0.19146024]
['Floor', 'Rooms', 'Pool', 'Garage']	Test Error: [0.30270886]
['Floor', 'Rooms', 'Pool', 'Garden']	Test Error: [0.31085129]
['Floor', 'Rooms', 'Pool', 'Age']	Test Error: [0.34054023]
['Floor', 'Rooms', 'Pool', 'Theater']	Test Error: [0.31039418]
['Floor', 'Rooms', 'Garage', 'Garden']	Test Error: [0.3031152]
['Floor', 'Rooms', 'Garage', 'Age']	Test Error: [0.32104153]
['Floor', 'Rooms', 'Garage', 'Theater']	Test Error: [0.30309457]
['Floor', 'Rooms', 'Garden', 'Age']	Test Error: [0.3414044]
['Floor', 'Rooms', 'Garden', 'Theater']	Test Error: [0.31104948]
['Floor', 'Rooms', 'Age', 'Theater']	Test Error: [0.34107391]
['Floor', 'Pool', 'Garage', 'Garden']	Test Error: [0.28996323]
['Floor', 'Pool', 'Garage', 'Age']	Test Error: [0.2973526]
['Floor', 'Pool', 'Garage', 'Theater']	Test Error: [0.28980973]
['Floor', 'Pool', 'Garden', 'Age']	Test Error: [0.30571951]
['Floor', 'Pool', 'Garden', 'Theater']	Test Error: [0.29434188]
['Floor', 'Pool', 'Age', 'Theater']	Test Error: [0.30522781]
['Floor', 'Garage', 'Garden', 'Age']	Test Error: [0.29776742]
['Floor', 'Garage', 'Garden', 'Theater']	Test Error: [0.290031]
['Floor', 'Garage', 'Age', 'Theater']	Test Error: [0.29759305]
['Floor', 'Garden', 'Age', 'Theater']	Test Error: [0.30581791]
['Rooms', 'Pool', 'Garage', 'Garden']	Test Error: [0.29186098]
['Rooms', 'Pool', 'Garage', 'Age']	Test Error: [0.29870393]
['Rooms', 'Pool', 'Garage', 'Theater']	Test Error: [0.29169921]
['Rooms', 'Pool', 'Garden', 'Age']	Test Error: [0.30641876]
['Rooms', 'Pool', 'Garden', 'Theater']	Test Error: [0.2961014]
['Rooms', 'Pool', 'Age', 'Theater']	Test Error: [0.30597262]
['Rooms', 'Garage', 'Garden', 'Age']	Test Error: [0.29915916]
['Rooms', 'Garage', 'Garden', 'Theater']	Test Error: [0.29195125]
['Rooms', 'Garage', 'Age', 'Theater']	Test Error: [0.29897046]
['Rooms', 'Garden', 'Age', 'Theater']	Test Error: [0.30653183]
['Pool', 'Garage', 'Garden', 'Age']	Test Error: [0.28705447]
['Pool', 'Garage', 'Garden', 'Theater']	Test Error: [0.28465889]
['Pool', 'Garage', 'Age', 'Theater']	Test Error: [0.28677877]
['Pool', 'Garden', 'Age', 'Theater']	Test Error: [0.29104545]
['Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.286993]
['Level', 'Area', 'Floor', 'Rooms', 'Pool']	Test Error: [0.13767945]
['Level', 'Area', 'Floor', 'Rooms', 'Garage']	Test Error: [0.13761839]
['Level', 'Area', 'Floor', 'Rooms', 'Garden']	Test Error: [0.13770405]
['Level', 'Area', 'Floor', 'Rooms', 'Age']	Test Error: [0.11185004]
['Level', 'Area', 'Floor', 'Rooms', 'Theater']	Test Error: [0.13770398]
['Level', 'Area', 'Floor', 'Pool', 'Garage']	Test Error: [0.13816042]
['Level', 'Area', 'Floor', 'Pool', 'Garden']	Test Error: [0.13833963]
['Level', 'Area', 'Floor', 'Pool', 'Age']	Test Error: [0.11273867]
['Level', 'Area', 'Floor', 'Pool', 'Theater']	Test Error: [0.13836384]
['Level', 'Area', 'Floor', 'Garage', 'Garden']	Test Error: [0.1381605]
['Level', 'Area', 'Floor', 'Garage', 'Age']	Test Error: [0.11253042]
['Level', 'Area', 'Floor', 'Garage', 'Theater']	Test Error: [0.13817111]
['Level', 'Area', 'Floor', 'Garden', 'Age']	Test Error: [0.11270196]
['Level', 'Area', 'Floor', 'Garden', 'Theater']	Test Error: [0.13834023]
['Level', 'Area', 'Floor', 'Age', 'Theater']	Test Error: [0.11272451]
['Level', 'Area', 'Rooms', 'Pool', 'Garage']	Test Error: [0.14055947]
['Level', 'Area', 'Rooms', 'Pool', 'Garden']	Test Error: [0.1406396]
['Level', 'Area', 'Rooms', 'Pool', 'Age']	Test Error: [0.11523394]
['Level', 'Area', 'Rooms', 'Pool', 'Theater']	Test Error: [0.14063711]
['Level', 'Area', 'Rooms', 'Garage', 'Garden']	Test Error: [0.14059861]
['Level', 'Area', 'Rooms', 'Garage', 'Age']	Test Error: [0.11524565]
['Level', 'Area', 'Rooms', 'Garage', 'Theater']	Test Error: [0.14058685]
['Level', 'Area', 'Rooms', 'Garden', 'Age']	Test Error: [0.11528435]
['Level', 'Area', 'Rooms', 'Garden', 'Theater']	Test Error: [0.14065878]
['Level', 'Area', 'Rooms', 'Age', 'Theater']	Test Error: [0.11526447]
['Level', 'Area', 'Pool', 'Garage', 'Garden']	Test Error: [0.14118163]
['Level', 'Area', 'Pool', 'Garage', 'Age']	Test Error: [0.11580333]
['Level', 'Area', 'Pool', 'Garage', 'Theater']	Test Error: [0.14118961]
['Level', 'Area', 'Pool', 'Garden', 'Age']	Test Error: [0.1159207]
['Level', 'Area', 'Pool', 'Garden', 'Theater']	Test Error: [0.14134369]
['Level', 'Area', 'Pool', 'Age', 'Theater']	Test Error: [0.11593176]
['Level', 'Area', 'Garage', 'Garden', 'Age']	Test Error: [0.11582282]
['Level', 'Area', 'Garage', 'Garden', 'Theater']	Test Error: [0.14118943]
['Level', 'Area', 'Garage', 'Age', 'Theater']	Test Error: [0.11581701]
['Level', 'Area', 'Garden', 'Age', 'Theater']	Test Error: [0.11593075]
['Level', 'Floor', 'Rooms', 'Pool', 'Garage']	Test Error: [0.26001978]
['Level', 'Floor', 'Rooms', 'Pool', 'Garden']	Test Error: [0.2667242]
['Level', 'Floor', 'Rooms', 'Pool', 'Age']	Test Error: [0.28736473]
['Level', 'Floor', 'Rooms', 'Pool', 'Theater']	Test Error: [0.26631632]
['Level', 'Floor', 'Rooms', 'Garage', 'Garden']	Test Error: [0.26053351]
['Level', 'Floor', 'Rooms', 'Garage', 'Age']	Test Error: [0.27113614]
['Level', 'Floor', 'Rooms', 'Garage', 'Theater']	Test Error: [0.26030362]
['Level', 'Floor', 'Rooms', 'Garden', 'Age']	Test Error: [0.28845355]
['Level', 'Floor', 'Rooms', 'Garden', 'Theater']	Test Error: [0.26697174]
['Level', 'Floor', 'Rooms', 'Age', 'Theater']	Test Error: [0.28792612]
